session,block,trial,stimulus_group,delay,feedback_optimal,stimulus_left,stimulus_middle,stimulus_right,optimal_action,feedback_left,feedback_middle,feedback_right,feedback_common,valence,appearance,stimulus_group_id,optimal_side,n_stimuli,optimal_right,present_pavlovian,n_groups,early_stop
wk0,1,1,1,1,1.0,hanger_1.jpg,hanger_1.jpg,hanger_1.jpg,1,1.0,0.01,0.01,true,1,1,1,left,1,,false,14,false
wk0,1,2,1,1,0.5,hanger_1.jpg,hanger_1.jpg,hanger_1.jpg,1,0.5,0.01,0.01,true,1,2,1,left,1,,false,14,false
wk0,1,3,1,1,1.0,hanger_1.jpg,hanger_1.jpg,hanger_1.jpg,1,1.0,0.01,0.01,true,1,3,1,left,1,,false,14,false
wk0,1,4,1,1,1.0,hanger_1.jpg,hanger_1.jpg,hanger_1.jpg,1,1.0,0.01,0.01,true,1,4,1,left,1,,false,14,false
wk0,1,5,2,0,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,3,0.01,0.01,1.0,true,1,1,2,right,1,,false,14,false
wk0,1,6,3,0,0.5,teabag_1.jpg,teabag_1.jpg,teabag_1.jpg,2,0.01,0.5,0.01,true,1,1,3,middle,1,,false,14,false
wk0,1,7,3,1,1.0,teabag_1.jpg,teabag_1.jpg,teabag_1.jpg,2,0.01,1.0,0.01,true,1,2,3,middle,1,,false,14,false
wk0,1,8,4,0,1.0,cactus_1.jpg,cactus_1.jpg,cactus_1.jpg,2,0.01,1.0,0.01,true,1,1,4,middle,1,,false,14,false
wk0,1,9,2,4,1.0,bracket_1.jpg,bracket_1.jpg,bracket_1.jpg,3,0.01,0.01,1.0,true,1,2,2,right,1,,false,14,false
wk0,1,10,5,0,1.0,robot_1.jpg,robot_1.jpg,robot_1.jpg,1,1.0,0.01,0.01,true,1,1,5,left,1,,false,14,false
wk0,1,11,6,0,1.0,card_1.jpg,card_1.jpg,card_1.jpg,1,1.0,0.01,0.01,true,1,1,6,left,1,,false,14,false
wk0,1,12,3,5,1.0,teabag_1.jpg,teabag_1.jpg,teabag_1.jpg,2,0.01,1.0,0.01,true,1,3,3,middle,1,,false,14,false
